CLASS, VARIABLE, TYPE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
avrora.sim.platform.sensors.LightSensor$PowerPin, this$0, avrora.sim.platform.sensors.LightSensor, 0, 6, 6, 6
avrora.sim.platform.LED, color, java.lang.String, 0, 18, 18, 18
avrora.sim.platform.LED, sim, avrora.sim.Simulator, 36, 18, 18, 18
avrora.sim.platform.LED, colornum, int, 0, 18, 18, 18
avrora.sim.platform.LED, state, avrora.sim.FiniteStateMachine, 12946, 18, 18, 18
avrora.sim.platform.LED, probe, avrora.sim.platform.LED$LEDProbe, 0, 18, 18, 18
avrora.arch.legacy.LegacyInstrProperties, size, int, 0, 80, 80, 80
avrora.arch.legacy.LegacyInstrProperties, name, java.lang.String, 0, 80, 80, 80
avrora.arch.legacy.LegacyInstrProperties, variant, java.lang.String, 0, 80, 80, 80
avrora.arch.legacy.LegacyInstrProperties, cycles, int, 0, 80, 80, 80
avrora.sim.mcu.ReprogrammableCodeSegment$SPMCSR_reg, this$0, avrora.sim.mcu.ReprogrammableCodeSegment, 0, 6, 6, 6
avrora.sim.mcu.ReprogrammableCodeSegment$SPMCSR_reg, reset, avrora.sim.mcu.ReprogrammableCodeSegment$SPMCSR_reg$ResetEvent, 0, 6, 6, 6
avrora.actions.SimAction$TimeoutException, address, int, 0, 5, 5, 6
avrora.actions.SimAction$TimeoutException, state, avrora.sim.State, 0, 5, 5, 6
avrora.actions.SimAction$TimeoutException, timeout, long, 0, 6, 6, 6
avrora.arch.legacy.LegacyRegister$Set, contents, java.lang.String, 0, 8, 8, 8
avrora.arch.legacy.LegacyRegister$Set, registerSet, java.util.HashSet, 11043, 8, 8, 8
avrora.sim.radio.Medium$Transmission, Pt, double, 0, 488, 488, 488
avrora.sim.radio.Medium$Transmission, data, [B, 102254, 488, 488, 488
avrora.sim.radio.Medium$Transmission, firstBit, long, 102768, 488, 488, 488
avrora.sim.radio.Medium$Transmission, f, double, 0, 488, 488, 488
avrora.sim.radio.Medium$Transmission, lastBit, long, 0, 975, 488, 488
avrora.sim.radio.Medium$Transmission, origin, avrora.sim.radio.Medium$Transmitter, 975, 488, 488, 488
avrora.sim.radio.Medium$Transmission, this$0, avrora.sim.radio.Medium, 0, 488, 488, 488
avrora.sim.radio.Medium$Transmission, start, long, 488, 488, 488, 488
avrora.sim.radio.Medium$Transmission, end, long, 0, 975, 488, 488
avrora.sim.radio.Medium$Transmission, power, double, 0, 488, 488, 488
avrora.sim.radio.Medium$Transmission, counter, int, 487, 0, 487, 488
org.dacapo.harness.Callback, mode, org.dacapo.harness.Callback$Mode, 4, 1, 1, 1
org.dacapo.harness.Callback, args, org.dacapo.harness.CommandLineArgs, 2, 1, 1, 1
org.dacapo.harness.Callback, elapsed, long, 1, 1, 1, 1
