CLASS, VARIABLE, TYPE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, x, double, 14, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, y, double, 14, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, it, java.awt.geom.PathIterator, 70, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, moveDone, boolean, 56, 28, 14, 14
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, done, boolean, 70, 28, 14, 14
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, next, org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, 0, 139, 139, 139
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, c, char, 9274, 139, 139, 139
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, this$0, org.apache.batik.gvt.font.AWTGlyphGeometryCache, 0, 139, 139, 139
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, hash, int, 0, 139, 139, 139
org.apache.batik.dom.AbstractParentNode$ChildNodes, children, int, 11541, 11541, 6267, 6267
org.apache.batik.dom.AbstractParentNode$ChildNodes, firstChild, org.apache.batik.dom.ExtendedNode, 31, 6280, 6267, 6267
org.apache.batik.dom.AbstractParentNode$ChildNodes, lastChild, org.apache.batik.dom.ExtendedNode, 22026, 11521, 6267, 6267
org.apache.batik.dom.AbstractParentNode$ChildNodes, this$0, org.apache.batik.dom.AbstractParentNode, 0, 6267, 6267, 6267
org.apache.batik.ext.awt.image.renderable.CompositeRable8Bit, rule, org.apache.batik.ext.awt.image.CompositeRule, 2, 1, 1, 1
org.apache.crimson.parser.InputEntity, next, org.apache.crimson.parser.InputEntity, 53, 28, 28, 28
org.apache.crimson.parser.InputEntity, maybeInCRLF, boolean, 152, 320, 28, 28
org.apache.crimson.parser.InputEntity, reader, java.io.Reader, 6248, 9, 28, 28
org.apache.crimson.parser.InputEntity, start, int, 1632837, 541073, 28, 28
org.apache.crimson.parser.InputEntity, locale, java.util.Locale, 0, 0, 0, 28
org.apache.crimson.parser.InputEntity, isPE, boolean, 0, 28, 28, 28
org.apache.crimson.parser.InputEntity, input, org.xml.sax.InputSource, 2821, 6, 6, 28
org.apache.crimson.parser.InputEntity, buf, [C, 597457, 28, 28, 28
org.apache.crimson.parser.InputEntity, rememberedText, java.lang.StringBuffer, 0, 0, 0, 28
org.apache.crimson.parser.InputEntity, isClosed, boolean, 100, 34, 28, 28
org.apache.crimson.parser.InputEntity, name, java.lang.String, 0, 28, 28, 28
org.apache.crimson.parser.InputEntity, returnedFirstHalf, boolean, 410402, 28, 28, 28
org.apache.crimson.parser.InputEntity, errHandler, org.xml.sax.ErrorHandler, 0, 0, 0, 28
org.apache.crimson.parser.InputEntity, finish, int, 1121711, 170, 28, 28
org.apache.crimson.parser.InputEntity, lineNumber, int, 7402, 4609, 28, 28
org.apache.crimson.parser.InputEntity, startRemember, int, 154, 0, 6, 28
org.apache.batik.dom.svg.SVGOMAnimatedPreserveAspectRatio$AnimSVGPARValue, this$0, org.apache.batik.dom.svg.SVGOMAnimatedPreserveAspectRatio, 20, 5, 5, 5
org.apache.batik.dom.events.EventListenerList$Entry, next, org.apache.batik.dom.events.EventListenerList$Entry, 0, 2, 2, 2
org.apache.batik.dom.events.EventListenerList$Entry, this$0, org.apache.batik.dom.events.EventListenerList, 0, 2, 2, 2
org.apache.batik.dom.events.EventListenerList$Entry, listener, org.w3c.dom.events.EventListener, 0, 2, 2, 2
org.apache.batik.dom.events.EventListenerList$Entry, namespaceURI, java.lang.String, 0, 2, 2, 2
org.apache.batik.dom.events.EventListenerList$Entry, mark, boolean, 0, 0, 0, 2
org.apache.batik.dom.events.EventListenerList$Entry, group, java.lang.Object, 0, 2, 2, 2
org.apache.batik.ext.awt.image.rendered.AffineRed, hints, java.awt.RenderingHints, 1, 9, 9, 9
org.apache.batik.ext.awt.image.rendered.AffineRed, src2me, java.awt.geom.AffineTransform, 9, 9, 9, 9
org.apache.batik.ext.awt.image.rendered.AffineRed, me2src, java.awt.geom.AffineTransform, 3, 9, 9, 9
org.apache.batik.css.engine.StringIntMap, count, int, 186, 186, 6, 6
org.apache.batik.css.engine.StringIntMap, table, [Lorg.apache.batik.css.engine.StringIntMap$Entry;, 1951, 9, 6, 6
org.w3c.css.sac.InputSource, characterStream, java.io.Reader, 5, 2, 5, 5
org.w3c.css.sac.InputSource, byteStream, java.io.InputStream, 3, 0, 3, 5
org.w3c.css.sac.InputSource, media, java.lang.String, 0, 0, 0, 5
org.w3c.css.sac.InputSource, encoding, java.lang.String, 3, 0, 3, 5
org.w3c.css.sac.InputSource, title, java.lang.String, 0, 0, 0, 5
org.w3c.css.sac.InputSource, uri, java.lang.String, 8, 3, 5, 5
org.apache.batik.dom.svg.SVGOMFEOffsetElement, dx, org.apache.batik.dom.svg.SVGOMAnimatedNumber, 0, 1, 1, 1
org.apache.batik.dom.svg.SVGOMFEOffsetElement, in, org.apache.batik.dom.svg.SVGOMAnimatedString, 0, 1, 1, 1
org.apache.batik.dom.svg.SVGOMFEOffsetElement, dy, org.apache.batik.dom.svg.SVGOMAnimatedNumber, 0, 1, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, entries, java.util.List, 10, 1, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, extensions, java.util.List, 0, 2, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, mimeTypes, java.util.List, 25, 4, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, rawCache, org.apache.batik.ext.awt.image.URLImageCache, 0, 1, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, imgCache, org.apache.batik.ext.awt.image.URLImageCache, 10, 1, 1, 1
org.apache.batik.ext.awt.image.renderable.PadRable8Bit, padRect, java.awt.geom.Rectangle2D, 29, 10, 10, 10
org.apache.batik.ext.awt.image.renderable.PadRable8Bit, padMode, org.apache.batik.ext.awt.image.PadMode, 11, 10, 10, 10
org.apache.batik.bridge.SVGAElementBridge, cl, org.apache.batik.bridge.SVGAElementBridge$CursorMouseOutListener, 0, 0, 0, 3
org.apache.batik.bridge.SVGAElementBridge, bl, org.apache.batik.bridge.SVGAElementBridge$CursorMouseOverListener, 0, 0, 0, 3
org.apache.batik.bridge.SVGAElementBridge, al, org.apache.batik.bridge.SVGAElementBridge$AnchorListener, 0, 0, 0, 3
org.apache.batik.css.parser.Scanner, blankCharacters, int, 2308, 2308, 53, 53
org.apache.batik.css.parser.Scanner, current, int, 44586, 8791, 53, 53
org.apache.batik.css.parser.Scanner, reader, org.apache.batik.util.io.NormalizingReader, 8738, 53, 53, 53
org.apache.batik.css.parser.Scanner, start, int, 1794, 2426, 53, 53
org.apache.batik.css.parser.Scanner, end, int, 897, 2307, 53, 53
org.apache.batik.css.parser.Scanner, buffer, [C, 22887, 53, 53, 53
org.apache.batik.css.parser.Scanner, position, int, 26723, 10995, 53, 53
org.apache.batik.css.parser.Scanner, type, int, 4759, 2307, 53, 53
org.apache.batik.bridge.BridgeContext$CSSEngineUserAgentWrapper, ua, org.apache.batik.bridge.UserAgent, 0, 3, 3, 3
org.apache.batik.dom.svg.AbstractSVGTransformList$TransformListBuilder, this$0, org.apache.batik.dom.svg.AbstractSVGTransformList, 9, 9, 9, 9
org.apache.batik.dom.svg.AbstractSVGTransformList$TransformListBuilder, listHandler, org.apache.batik.dom.svg.ListHandler, 27, 9, 9, 9
org.apache.batik.parser.PreserveAspectRatioParser, preserveAspectRatioHandler, org.apache.batik.parser.PreserveAspectRatioHandler, 52, 26, 13, 13
org.apache.commons.cli.PosixParser, eatTheRest, boolean, 1, 1, 1, 1
org.apache.commons.cli.PosixParser, currentOption, org.apache.commons.cli.Option, 0, 0, 0, 1
org.apache.commons.cli.PosixParser, options, org.apache.commons.cli.Options, 0, 1, 1, 1
org.apache.commons.cli.PosixParser, tokens, java.util.List, 4, 1, 1, 1
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, path, java.awt.geom.GeneralPath, 54659, 1884, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, types, [I, 164287, 9658, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, numVals, int, 163172, 107542, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, cx, float, 1394, 49727, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, cy, float, 1394, 49727, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, numSeg, int, 195664, 53495, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, values, [F, 217518, 9781, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, mx, float, 1394, 2074, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, my, float, 1394, 2074, 1884, 1884
org.apache.batik.i18n.LocaleGroup, locale, java.util.Locale, 104, 0, 1, 1
org.apache.batik.ext.awt.geom.PathLength, initialised, boolean, 282, 28, 14, 14
