CLASS, VARIABLE, TYPE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.fop.datatypes.LengthBase, fobj, org.apache.fop.fo.FObj, 394, 8124, 8124, 8124
org.apache.fop.datatypes.LengthBase, baseLength, org.apache.fop.datatypes.Length, 3865, 7730, 7730, 8124
org.apache.fop.datatypes.LengthBase, baseType, int, 1182, 8124, 8124, 8124
org.apache.fop.fo.properties.PropertyCache$CacheSegment, staleEntries, java.lang.ref.ReferenceQueue, 0, 384, 384, 384
org.apache.fop.fo.properties.PropertyCache$CacheSegment, this$0, org.apache.fop.fo.properties.PropertyCache, 0, 384, 384, 384
org.apache.fop.fo.properties.PropertyCache$CacheSegment, count, int, 0, 384, 384, 384
org.apache.fop.render.ps.PSPageDeviceDictionary, flushOnRetrieval, boolean, 233, 2, 3, 3
org.apache.fop.render.ps.PSPageDeviceDictionary, unRetrievedContentDictionary, org.apache.fop.render.ps.PSDictionary, 1, 0, 1, 3
org.apache.fop.traits.BorderProps, mode, int, 0, 188, 5, 7
org.apache.fop.traits.BorderProps, color, java.awt.Color, 0, 188, 4, 7
org.apache.fop.traits.BorderProps, width, int, 0, 0, 0, 7
org.apache.fop.traits.BorderProps, style, int, 0, 0, 0, 7
org.apache.fop.fo.properties.CommonAccessibility, role, java.lang.String, 747, 2241, 747, 747
org.apache.fop.fo.properties.CommonAccessibility, sourceDoc, java.lang.String, 747, 2241, 747, 747
org.apache.fop.layoutmgr.Position, layoutManager, org.apache.fop.layoutmgr.LayoutManager, 110333, 75791, 75862, 75862
org.apache.fop.layoutmgr.Position, index, int, 77596, 103785, 75794, 75862
org.apache.fop.fo.flow.table.TableRow, breakBefore, int, 94, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, keepWithNext, org.apache.fop.fo.properties.KeepProperty, 188, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, blockProgressionDimension, org.apache.fop.fo.properties.LengthRangeProperty, 94, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, commonBorderPaddingBackground, org.apache.fop.fo.properties.CommonBorderPaddingBackground, 685, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, breakAfter, int, 94, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, keepWithPrevious, org.apache.fop.fo.properties.KeepProperty, 188, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, keepTogether, org.apache.fop.fo.properties.KeepProperty, 526, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, height, org.apache.fop.datatypes.Length, 0, 94, 94, 94
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fEntityState, com.sun.org.apache.xerces.internal.impl.validation.EntityState, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fNamespaces, boolean, 0, 6, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fLocale, java.util.Locale, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fIdRefList, java.util.ArrayList, 0, 1, 1, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fSymbolTable, com.sun.org.apache.xerces.internal.util.SymbolTable, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fNormalize, boolean, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fExtraChecking, boolean, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fNamespaceContext, com.sun.org.apache.xerces.internal.xni.NamespaceContext, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fIdList, java.util.ArrayList, 0, 1, 1, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fFacetChecking, boolean, 0, 5, 5, 5
org.apache.xmlgraphics.ps.dsc.ResourceTracker, usedResources, java.util.Set, 118, 1, 1, 1
org.apache.xmlgraphics.ps.dsc.ResourceTracker, documentNeededResources, java.util.Set, 16, 1, 1, 1
org.apache.xmlgraphics.ps.dsc.ResourceTracker, pageResources, java.util.Set, 6329, 1, 1, 1
