CLASS, VARIABLE, TYPE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.lucene.index.TermsHashPerThread, termsHash, org.apache.lucene.index.TermsHash, 144, 2, 2, 2
org.apache.lucene.index.TermsHashPerThread, freePostingsCount, int, 4, 144, 2, 2
org.apache.lucene.index.TermsHashPerThread, freePostings, [Lorg.apache.lucene.index.RawPostingList;, 284, 2, 2, 2
org.apache.lucene.index.TermsHashPerThread, nextPerThread, org.apache.lucene.index.TermsHashPerThread, 4942, 2, 2, 2
org.apache.lucene.index.TermsHashPerThread, intPool, org.apache.lucene.index.IntBlockPool, 4, 2, 2, 2
org.apache.lucene.index.TermsHashPerThread, bytePool, org.apache.lucene.index.ByteBlockPool, 4, 2, 2, 2
org.apache.lucene.index.TermsHashPerThread, docState, org.apache.lucene.index.DocumentsWriter$DocState, 0, 2, 2, 2
org.apache.lucene.index.TermsHashPerThread, charPool, org.apache.lucene.index.CharBlockPool, 3, 2, 2, 2
org.apache.lucene.index.TermsHashPerThread, consumer, org.apache.lucene.index.TermsHashConsumerPerThread, 4936, 2, 2, 2
org.apache.lucene.index.TermsHashPerThread, primary, boolean, 4, 2, 2, 2
org.apache.lucene.store.ChecksumIndexOutput, digest, java.util.zip.Checksum, 76, 2, 2, 2
org.apache.lucene.store.ChecksumIndexOutput, main, org.apache.lucene.store.IndexOutput, 84, 2, 2, 2
org.apache.lucene.index.DocFieldProcessor, fieldInfos, org.apache.lucene.index.FieldInfos, 3, 1, 1, 1
org.apache.lucene.index.DocFieldProcessor, consumer, org.apache.lucene.index.DocFieldConsumer, 3, 1, 1, 1
org.apache.lucene.index.DocFieldProcessor, docWriter, org.apache.lucene.index.DocumentsWriter, 0, 1, 1, 1
org.apache.lucene.index.ReusableStringReader, upto, int, 0, 0, 0, 1
org.apache.lucene.index.ReusableStringReader, s, java.lang.String, 0, 0, 0, 1
org.apache.lucene.index.ReusableStringReader, left, int, 0, 0, 0, 1
org.apache.lucene.index.FreqProxTermsWriterPerField, omitTf, boolean, 940097, 9, 3, 3
org.apache.lucene.index.FreqProxTermsWriterPerField, perThread, org.apache.lucene.index.FreqProxTermsWriterPerThread, 0, 3, 3, 3
org.apache.lucene.index.FreqProxTermsWriterPerField, termsHashPerField, org.apache.lucene.index.TermsHashPerField, 1395025, 3, 3, 3
org.apache.lucene.index.FreqProxTermsWriterPerField, docState, org.apache.lucene.index.DocumentsWriter$DocState, 1644156, 3, 3, 3
org.apache.lucene.index.FreqProxTermsWriterPerField, hasPayloads, boolean, 0, 0, 0, 3
org.apache.lucene.index.FreqProxTermsWriterPerField, fieldInfo, org.apache.lucene.index.FieldInfo, 25, 3, 3, 3
org.apache.lucene.index.FreqProxTermsWriterPerField, fieldState, org.apache.lucene.index.DocInverter$FieldInvertState, 1880194, 3, 3, 3
org.apache.lucene.store.FSDirectory$FSIndexInput, file, org.apache.lucene.store.FSDirectory$FSIndexInput$Descriptor, 5193, 23, 37, 42
