CLASS, VARIABLE, TYPE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.dacapo.parser.Config$ThreadModel, description, java.lang.String, 0, 3, 3, 3
org.apache.lucene.search.ScoreDoc, score, float, 0, 93819, 93818, 93817
org.apache.lucene.search.ScoreDoc, doc, int, 0, 93816, 93815, 93817
org.apache.lucene.index.IndexFileNameFilter, extensions, java.util.HashSet, 207, 1, 1, 1
org.apache.lucene.index.IndexFileNameFilter, extensionsInCFS, java.util.HashSet, 11, 1, 1, 1
org.apache.lucene.store.FSDirectory$FSIndexInput, file, org.apache.lucene.store.FSDirectory$FSIndexInput$Descriptor, 1553620, 252, 16843, 262992
org.apache.lucene.store.FSDirectory$FSIndexInput, isClone, boolean, 262914, 262700, 262900, 262992
org.dacapo.parser.Config$OutputFile, filter, boolean, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, bytes, long, 66, 206, 206, 206
org.dacapo.parser.Config$OutputFile, keep, boolean, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, this$0, org.dacapo.parser.Config, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, name, java.lang.String, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, digest, java.lang.String, 66, 206, 206, 206
org.dacapo.parser.Config$OutputFile, existence, boolean, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, text, boolean, 0, 206, 206, 206
org.dacapo.parser.Config$OutputFile, lines, int, 66, 206, 206, 206
org.apache.lucene.index.TermInfosReader, threadResources, org.apache.lucene.util.CloseableThreadLocal, 523978, 61, 64, 64
org.apache.lucene.index.TermInfosReader, origEnum, org.apache.lucene.index.SegmentTermEnum, 524394, 61, 64, 64
org.apache.lucene.index.TermInfosReader, indexPointers, [J, 145206, 64, 64, 64
org.apache.lucene.index.TermInfosReader, fieldInfos, org.apache.lucene.index.FieldInfos, 122, 61, 61, 64
org.apache.lucene.index.TermInfosReader, indexTerms, [Lorg.apache.lucene.index.Term;, 2694477, 125, 65, 64
org.apache.lucene.index.TermInfosReader, size, long, 523870, 61, 64, 64
org.apache.lucene.index.TermInfosReader, indexEnum, org.apache.lucene.index.SegmentTermEnum, 58620, 125, 64, 64
org.apache.lucene.index.TermInfosReader, segment, java.lang.String, 122, 61, 61, 64
org.apache.lucene.index.TermInfosReader, indexInfos, [Lorg.apache.lucene.index.TermInfo;, 145173, 64, 64, 64
org.apache.lucene.index.TermInfosReader, directory, org.apache.lucene.store.Directory, 122, 61, 61, 64
org.apache.lucene.index.TermInfosReader, totalIndexInterval, int, 564915, 61, 64, 64
org.apache.lucene.index.TermInfosReader, indexDivisor, int, 14655, 61, 64, 64
org.apache.lucene.index.Term, field, java.lang.String, 6487427, 0, 100694, 117837
org.apache.lucene.index.Term, text, java.lang.String, 6207207, 406248, 117876, 117837
org.dacapo.harness.Callback, mode, org.dacapo.harness.Callback$Mode, 4, 1, 1, 1
org.dacapo.harness.Callback, args, org.dacapo.harness.CommandLineArgs, 2, 1, 1, 1
org.dacapo.harness.Callback, elapsed, long, 1, 1, 1, 1
org.dacapo.harness.Callback, timer, long, 1, 1, 1, 1
org.dacapo.harness.Callback, times, [J, 1, 0, 1, 1
org.dacapo.harness.Callback, iterations, int, 0, 1, 1, 1
org.dacapo.harness.Callback, verbose, boolean, 3, 2, 1, 1
org.apache.lucene.store.ChecksumIndexInput, digest, java.util.zip.Checksum, 3904, 64, 64, 64
org.apache.lucene.store.ChecksumIndexInput, main, org.apache.lucene.store.IndexInput, 3904, 64, 64, 64
org.apache.lucene.index.TermInfosReader$ThreadResources, termInfoCache, org.apache.lucene.util.cache.Cache, 0, 0, 0, 61
org.apache.lucene.index.TermInfosReader$ThreadResources, termEnum, org.apache.lucene.index.SegmentTermEnum, 0, 0, 0, 61
org.apache.lucene.util.UnicodeUtil$UTF16Result, result, [C, 26101473, 921, 580, 581
org.apache.lucene.util.UnicodeUtil$UTF16Result, offsets, [I, 0, 576, 576, 581
org.apache.lucene.util.UnicodeUtil$UTF16Result, length, int, 16926648, 9239565, 321, 581
org.apache.lucene.queryParser.FastCharStream, input, java.io.Reader, 393155, 131127, 131122, 131082
org.apache.lucene.queryParser.FastCharStream, bufferLength, int, 2175067, 655054, 131113, 131082
org.apache.lucene.queryParser.FastCharStream, bufferPosition, int, 3432184, 1782543, 131125, 131082
org.apache.lucene.queryParser.FastCharStream, tokenStart, int, 1833851, 786283, 131117, 131082
org.apache.lucene.queryParser.FastCharStream, buffer, [C, 2829324, 262105, 131094, 131082
org.apache.lucene.queryParser.FastCharStream, bufferStart, int, 917000, 524268, 131118, 131082
org.apache.lucene.document.Document, boost, float, 0, 53199, 53199, 53191
