CLASS, VARIABLE, TYPE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.jaxen.expr.IdentitySet, contents, java.util.HashSet, 143286, 63504, 63501, 63501
org.jaxen.SimpleVariableContext, variables, java.util.Map, 26, 99, 99, 99
org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher, this$0, org.apache.xerces.impl.XMLDocumentScannerImpl, 24, 12, 12, 12
net.sourceforge.pmd.RuleSetFactory, minPriority, int, 204, 2, 1, 1
org.dacapo.harness.Callback, mode, org.dacapo.harness.Callback$Mode, 4, 1, 1, 1
org.dacapo.harness.Callback, args, org.dacapo.harness.CommandLineArgs, 2, 1, 1, 1
org.dacapo.harness.Callback, elapsed, long, 1, 1, 1, 1
org.dacapo.harness.Callback, timer, long, 1, 1, 1, 1
org.dacapo.harness.Callback, times, [J, 1, 0, 1, 1
org.dacapo.harness.Callback, iterations, int, 0, 1, 1, 1
org.dacapo.harness.Callback, verbose, boolean, 3, 2, 1, 1
net.sourceforge.pmd.rules.UnnecessaryConversionTemporary, inPrimaryExpressionContext, boolean, 8112, 1386, 1, 2
net.sourceforge.pmd.rules.UnnecessaryConversionTemporary, usingPrimitiveWrapperAllocation, boolean, 202, 693, 1, 2
net.sourceforge.pmd.rules.UnnecessaryConversionTemporary, primary, net.sourceforge.pmd.ast.ASTPrimaryExpression, 0, 693, 1, 2
org.apache.xerces.util.SymbolTable$Entry, next, org.apache.xerces.util.SymbolTable$Entry, 0, 114, 114, 114
org.apache.xerces.util.SymbolTable$Entry, symbol, java.lang.String, 0, 114, 114, 114
org.apache.xerces.util.SymbolTable$Entry, characters, [C, 228, 114, 114, 114
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, fieldVisitor, org.objectweb.asm.FieldVisitor, 928, 218, 218, 219
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, packages, java.util.Map, 31060, 218, 218, 219
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, annotationVisitor, org.objectweb.asm.AnnotationVisitor, 1, 218, 218, 219
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, sigVisitor, org.objectweb.asm.signature.SignatureVisitor, 262, 218, 218, 219
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, methodVisitor, org.objectweb.asm.MethodVisitor, 2593, 218, 219, 219
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, innerClasses, java.util.List, 598, 15, 218, 219
net.sourceforge.pmd.symboltable.VariableUsageFinderFunction, decls, java.util.Map, 178, 63, 63, 63
net.sourceforge.pmd.symboltable.VariableUsageFinderFunction, results, java.util.Map, 241, 63, 63, 63
org.jaxen.expr.DefaultFunctionCallExpr, functionName, java.lang.String, 16472, 392, 392, 392
org.jaxen.expr.DefaultFunctionCallExpr, prefix, java.lang.String, 32752, 392, 392, 392
org.jaxen.expr.DefaultFunctionCallExpr, parameters, java.util.List, 17416, 784, 392, 392
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fInternalBufferPool, [Lorg.apache.xerces.impl.XMLEntityManager$CharacterBuffer;, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fExternalTop, int, 18, 12, 6, 6
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fExternalBufferPool, [Lorg.apache.xerces.impl.XMLEntityManager$CharacterBuffer;, 12, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, poolSize, int, 12, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fExternalBufferSize, int, 6, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fInternalTop, int, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fInternalBufferSize, int, 0, 6, 6, 6
org.apache.xerces.dom.DeferredTextImpl, fNodeIndex, int, 2232, 2907, 2907, 2904
net.sourceforge.pmd.ast.JavaRuleChainVisitor$1, this$0, net.sourceforge.pmd.ast.JavaRuleChainVisitor, 231564, 219, 219, 219
org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher, this$0, org.apache.xerces.impl.XMLNSDocumentScannerImpl, 0, 6, 6, 6
org.jaxen.BaseXPath, xpath, org.jaxen.expr.XPathExpr, 58572, 184, 184, 184
org.jaxen.BaseXPath, navigator, org.jaxen.Navigator, 91, 184, 184, 184
org.jaxen.BaseXPath, exprText, java.lang.String, 0, 184, 184, 184
org.jaxen.BaseXPath, support, org.jaxen.ContextSupport, 116978, 91, 91, 184
org.jaxen.expr.PredicateSet, predicates, java.util.List, 299162, 4200, 3744, 3744
org.apache.xerces.impl.XMLEntityManager, fSecurityManager, org.apache.xerces.util.SecurityManager, 6, 12, 6, 6
org.apache.xerces.impl.XMLEntityManager, fEntityScanner, org.apache.xerces.impl.XMLEntityScanner, 90, 18, 6, 6
org.apache.xerces.impl.XMLEntityManager, fValidationManager, org.apache.xerces.impl.validation.ValidationManager, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fExternalParameterEntities, boolean, 0, 12, 6, 6
org.apache.xerces.impl.XMLEntityManager, fStrictURI, boolean, 6, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fCurrentEntity, org.apache.xerces.impl.XMLEntityManager$ScannedEntity, 78, 18, 6, 6
org.apache.xerces.impl.XMLEntityManager, fBufferPool, org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, 6, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fWarnDuplicateEntityDef, boolean, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fInExternalSubset, boolean, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fResourceIdentifier, org.apache.xerces.util.XMLResourceIdentifierImpl, 12, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fStandalone, boolean, 0, 12, 6, 6
org.apache.xerces.impl.XMLEntityManager, fEntities, java.util.Hashtable, 6, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fDeclaredEntities, java.util.Hashtable, 6, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fExternalGeneralEntities, boolean, 0, 12, 6, 6
org.apache.xerces.impl.XMLEntityManager, fAllowJavaEncodings, boolean, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fErrorReporter, org.apache.xerces.impl.XMLErrorReporter, 36, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fEntityHandler, org.apache.xerces.impl.XMLEntityHandler, 12, 18, 6, 6
org.apache.xerces.impl.XMLEntityManager, fEntityExpansionCount, int, 0, 12, 6, 6
org.apache.xerces.impl.XMLEntityManager, fEntityResolver, org.apache.xerces.xni.parser.XMLEntityResolver, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fValidation, boolean, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fBufferSize, int, 12, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fEntityAugs, org.apache.xerces.xni.Augmentations, 0, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fXML10EntityScanner, org.apache.xerces.impl.XMLEntityScanner, 66, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fEntityStack, java.util.Stack, 12, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fReaderStack, java.util.Stack, 24, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fSymbolTable, org.apache.xerces.util.SymbolTable, 24, 6, 6, 6
org.apache.xerces.impl.XMLEntityManager, fEntityExpansionLimit, int, 0, 12, 6, 6
org.apache.xerces.impl.XMLEntityManager, fXML11EntityScanner, org.apache.xerces.impl.XMLEntityScanner, 6, 0, 6, 6
