CLASS, VARIABLE, TYPE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher, this$0, org.apache.xerces.impl.XMLDocumentScannerImpl, 9398, 5, 5, 5
org.apache.xml.serializer.ToHTMLStream$Trie$Node, m_nextChar, [Lorg.apache.xml.serializer.ToHTMLStream$Trie$Node;, 0, 289, 289, 289
org.apache.xml.serializer.ToHTMLStream$Trie$Node, m_Value, java.lang.Object, 0, 289, 289, 289
org.apache.xml.serializer.ToHTMLStream$Trie$Node, this$0, org.apache.xml.serializer.ToHTMLStream$Trie, 0, 289, 289, 289
org.apache.xalan.templates.ElemIf, m_test, org.apache.xpath.XPath, 155992, 96, 48, 48
org.apache.xalan.templates.ElemCallTemplate, m_templateName, org.apache.xml.utils.QName, 209, 200, 192, 193
org.apache.xalan.templates.ElemCallTemplate, m_template, org.apache.xalan.templates.ElemTemplate, 97312, 200, 183, 193
org.apache.xalan.templates.ElemCallTemplate, m_paramElems, [Lorg.apache.xalan.templates.ElemWithParam;, 335457, 199, 193, 193
org.apache.xalan.templates.ElemWithParam, m_selectPattern, org.apache.xpath.XPath, 27884, 32, 16, 16
org.apache.xalan.templates.ElemWithParam, m_qname, org.apache.xml.utils.QName, 48, 32, 16, 16
org.apache.xalan.templates.ElemWithParam, m_qnameID, int, 0, 32, 16, 16
org.apache.xalan.templates.ElemWithParam, m_index, int, 0, 0, 0, 16
org.dacapo.harness.Callback, mode, org.dacapo.harness.Callback$Mode, 4, 1, 1, 1
org.dacapo.harness.Callback, args, org.dacapo.harness.CommandLineArgs, 2, 1, 1, 1
org.dacapo.harness.Callback, elapsed, long, 1, 1, 1, 1
org.dacapo.harness.Callback, timer, long, 1, 1, 1, 1
org.dacapo.harness.Callback, times, [J, 1, 0, 1, 1
org.dacapo.harness.Callback, iterations, int, 0, 1, 1, 1
org.dacapo.harness.Callback, verbose, boolean, 3, 2, 1, 1
org.apache.xalan.transformer.MsgMgr, m_transformer, org.apache.xalan.transformer.TransformerImpl, 6299, 1200, 1200, 1200
org.apache.xerces.util.SymbolTable$Entry, next, org.apache.xerces.util.SymbolTable$Entry, 0, 416, 416, 416
org.apache.xerces.util.SymbolTable$Entry, symbol, java.lang.String, 0, 416, 416, 416
org.apache.xerces.util.SymbolTable$Entry, characters, [C, 832, 416, 416, 416
org.apache.xml.serializer.NamespaceMappings$Stack, top, int, 1064410, 16999, 10200, 10199
org.apache.xml.serializer.NamespaceMappings$Stack, max, int, 16997, 10200, 10200, 10199
org.apache.xml.serializer.NamespaceMappings$Stack, this$0, org.apache.xml.serializer.NamespaceMappings, 0, 10200, 10199, 10199
org.apache.xml.serializer.NamespaceMappings$Stack, m_stack, [Ljava.lang.Object;, 354855, 10200, 10200, 10199
org.apache.xml.utils.NamespaceSupport2, currentContext, org.apache.xml.utils.Context2, 5104, 1988, 1, 1
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fInternalBufferPool, [Lorg.apache.xerces.impl.XMLEntityManager$CharacterBuffer;, 0, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fExternalTop, int, 6796, 3397, 5, 5
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fExternalBufferPool, [Lorg.apache.xerces.impl.XMLEntityManager$CharacterBuffer;, 5095, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, poolSize, int, 10, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fExternalBufferSize, int, 5, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fInternalTop, int, 0, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, fInternalBufferSize, int, 0, 5, 5, 5
org.apache.xml.dtm.ref.DTMDefaultBaseTraversers$AttributeTraverser, this$0, org.apache.xml.dtm.ref.DTMDefaultBaseTraversers, 31996, 1699, 1700, 1699
org.apache.xpath.compiler.XPathParser, m_sourceLocator, javax.xml.transform.SourceLocator, 0, 4698, 4697, 4697
org.apache.xpath.compiler.XPathParser, m_namespaceContext, org.apache.xml.utils.PrefixResolver, 0, 4696, 4696, 4697
org.apache.xpath.compiler.XPathParser, m_queueMark, int, 42028, 10881, 4698, 4697
org.apache.xpath.compiler.XPathParser, m_tokenChar, char, 36370, 15583, 4697, 4697
org.apache.xpath.compiler.XPathParser, m_functionTable, org.apache.xpath.compiler.FunctionTable, 82, 4698, 4698, 4697
org.apache.xpath.compiler.XPathParser, m_ops, org.apache.xpath.compiler.OpMap, 253046, 4697, 4697, 4697
org.apache.xpath.compiler.XPathParser, m_token, java.lang.String, 71104, 10879, 4696, 4697
org.apache.xpath.compiler.XPathParser, m_errorListener, javax.xml.transform.ErrorListener, 0, 4699, 4699, 4697
org.apache.xpath.XPath, m_funcTable, org.apache.xpath.compiler.FunctionTable, 4697, 9404, 4702, 4705
org.apache.xpath.XPath, m_mainExp, org.apache.xpath.Expression, 458661, 4701, 4701, 4705
org.apache.xpath.XPath, m_patternString, java.lang.String, 218, 4699, 4699, 4705
org.apache.xerces.impl.XMLNSDocumentScannerImpl$NSContentDispatcher, this$0, org.apache.xerces.impl.XMLNSDocumentScannerImpl, 18697, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager, fSecurityManager, org.apache.xerces.util.SecurityManager, 1699, 10, 5, 5
org.apache.xerces.impl.XMLEntityManager, fEntityScanner, org.apache.xerces.impl.XMLEntityScanner, 20399, 3403, 5, 5
org.apache.xerces.impl.XMLEntityManager, fValidationManager, org.apache.xerces.impl.validation.ValidationManager, 0, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager, fExternalParameterEntities, boolean, 0, 10, 5, 5
org.apache.xerces.impl.XMLEntityManager, fStrictURI, boolean, 1700, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager, fCurrentEntity, org.apache.xerces.impl.XMLEntityManager$ScannedEntity, 15306, 5100, 5, 5
org.apache.xerces.impl.XMLEntityManager, fBufferPool, org.apache.xerces.impl.XMLEntityManager$CharacterBufferPool, 1700, 5, 5, 5
org.apache.xerces.impl.XMLEntityManager, fWarnDuplicateEntityDef, boolean, 0, 5, 5, 5
