About to transcode 3 SVG file(s)

Converting mapWaadt.svg to /home/mariocesar/Descargas/disl-2.1/bin/./scratch/mapWaadt.png ... ... success
Converting mapSpain.svg to /home/mariocesar/Descargas/disl-2.1/bin/./scratch/mapSpain.png ... ... success
Converting sydney.svg to /home/mariocesar/Descargas/disl-2.1/bin/./scratch/sydney.png ... ... success
CLASS, VARIABLE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, x, 14, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, y, 14, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, it, 70, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, moveDone, 56, 28, 14, 14
org.apache.batik.ext.awt.geom.PathLength$SingleSegmentPathIterator, done, 70, 28, 14, 14
org.apache.batik.util.io.AbstractCharDecoder, count, 0, 6, 3, 3
org.apache.batik.util.io.AbstractCharDecoder, inputStream, 6, 3, 3, 3
org.apache.batik.util.io.AbstractCharDecoder, buffer, 6, 3, 3, 3
org.apache.batik.util.io.AbstractCharDecoder, position, 0, 6, 3, 3
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, next, 0, 139, 139, 139
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, c, 9274, 139, 139, 139
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, this$0, 0, 139, 139, 139
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, referenceQueue, 139, 0, 139, 139
org.apache.batik.gvt.font.AWTGlyphGeometryCache$Entry, hash, 0, 139, 139, 139
org.apache.batik.dom.AbstractParentNode$ChildNodes, children, 11541, 11541, 6267, 6267
org.apache.batik.dom.AbstractParentNode$ChildNodes, firstChild, 31, 6280, 6267, 6267
org.apache.batik.dom.AbstractParentNode$ChildNodes, lastChild, 22026, 11521, 6267, 6267
org.apache.batik.dom.AbstractParentNode$ChildNodes, this$0, 0, 6267, 6267, 6267
org.apache.batik.bridge.SVGTextElementBridge$AbstractTextChildBridgeUpdateHandler, this$0, 0, 14, 14, 14
org.apache.batik.ext.awt.image.renderable.CompositeRable8Bit, rule, 2, 1, 1, 1
org.apache.batik.ext.awt.image.renderable.CompositeRable8Bit, srcs, 1, 0, 1, 1
org.apache.crimson.parser.InputEntity, next, 53, 28, 28, 28
org.apache.crimson.parser.InputEntity, maybeInCRLF, 152, 320, 28, 28
org.apache.crimson.parser.InputEntity, reader, 6248, 9, 28, 28
org.apache.crimson.parser.InputEntity, start, 1632837, 541073, 28, 28
org.apache.crimson.parser.InputEntity, locale, 0, 0, 0, 28
org.apache.crimson.parser.InputEntity, isPE, 0, 28, 28, 28
org.apache.crimson.parser.InputEntity, input, 2821, 6, 6, 28
org.apache.crimson.parser.InputEntity, buf, 597457, 28, 28, 28
org.apache.crimson.parser.InputEntity, rememberedText, 0, 0, 0, 28
org.apache.crimson.parser.InputEntity, isClosed, 100, 34, 28, 28
org.apache.crimson.parser.InputEntity, name, 0, 28, 28, 28
org.apache.crimson.parser.InputEntity, returnedFirstHalf, 410402, 28, 28, 28
org.apache.crimson.parser.InputEntity, errHandler, 0, 0, 0, 28
org.apache.crimson.parser.InputEntity, finish, 1121711, 170, 28, 28
org.apache.crimson.parser.InputEntity, lineNumber, 7402, 4609, 28, 28
org.apache.crimson.parser.InputEntity, startRemember, 154, 0, 6, 28
org.apache.batik.dom.svg.SVGOMAnimatedPreserveAspectRatio$AnimSVGPARValue, this$0, 20, 5, 5, 5
org.apache.batik.dom.svg.SVGOMAnimatedPreserveAspectRatio$AnimSVGPARValue, hasAnimVal, 10, 0, 5, 5
org.apache.batik.parser.LengthListParser, current, 424, 424, 424, 424
org.apache.batik.parser.LengthListParser, reader, 424, 0, 424, 424
org.apache.batik.parser.LengthListParser, lengthHandler, 1696, 848, 424, 424
org.apache.batik.dom.events.EventListenerList$Entry, next, 0, 2, 2, 2
org.apache.batik.dom.events.EventListenerList$Entry, this$0, 0, 2, 2, 2
org.apache.batik.dom.events.EventListenerList$Entry, listener, 0, 2, 2, 2
org.apache.batik.dom.events.EventListenerList$Entry, namespaceURI, 0, 2, 2, 2
org.apache.batik.dom.events.EventListenerList$Entry, mark, 0, 0, 0, 2
org.apache.batik.dom.events.EventListenerList$Entry, group, 0, 2, 2, 2
org.apache.batik.ext.awt.image.rendered.AffineRed, hints, 1, 9, 9, 9
org.apache.batik.ext.awt.image.rendered.AffineRed, src2me, 9, 9, 9, 9
org.apache.batik.ext.awt.image.rendered.AffineRed, width, 18, 0, 9, 9
org.apache.batik.ext.awt.image.rendered.AffineRed, x, 1, 0, 1, 9
org.apache.batik.ext.awt.image.rendered.AffineRed, y, 1, 0, 1, 9
org.apache.batik.ext.awt.image.rendered.AffineRed, me2src, 3, 9, 9, 9
org.apache.batik.ext.awt.image.rendered.AffineRed, height, 18, 0, 9, 9
org.apache.batik.css.engine.StringIntMap, next, 305, 105, 6, 6
org.apache.batik.css.engine.StringIntMap, count, 186, 186, 6, 6
org.apache.batik.css.engine.StringIntMap, value, 350, 0, 3, 6
org.apache.batik.css.engine.StringIntMap, table, 1951, 9, 6, 6
org.apache.batik.css.engine.StringIntMap, hash, 655, 0, 6, 6
org.apache.batik.css.engine.StringIntMap, key, 350, 0, 3, 6
org.apache.batik.ext.awt.image.rendered.TileLRUMember, myNode, 62, 136, 62, 62
org.apache.batik.ext.awt.image.rendered.TileLRUMember, parent, 0, 0, 0, 62
org.apache.batik.ext.awt.image.rendered.TileLRUMember, pt, 0, 0, 0, 62
org.apache.batik.ext.awt.image.rendered.TileLRUMember, hRaster, 0, 74, 62, 62
org.apache.batik.ext.awt.image.rendered.TileLRUMember, wRaster, 0, 62, 62, 62
org.w3c.css.sac.InputSource, characterStream, 5, 2, 5, 5
org.w3c.css.sac.InputSource, byteStream, 3, 0, 3, 5
org.w3c.css.sac.InputSource, media, 0, 0, 0, 5
org.w3c.css.sac.InputSource, encoding, 3, 0, 3, 5
org.w3c.css.sac.InputSource, title, 0, 0, 0, 5
org.w3c.css.sac.InputSource, uri, 8, 3, 5, 5
org.apache.batik.dom.svg.SVGOMFEOffsetElement, dx, 0, 1, 1, 1
org.apache.batik.dom.svg.SVGOMFEOffsetElement, in, 0, 1, 1, 1
org.apache.batik.dom.svg.SVGOMFEOffsetElement, dy, 0, 1, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, entries, 10, 1, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, extensions, 0, 2, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, mimeTypes, 25, 4, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, rawCache, 0, 1, 1, 1
org.apache.batik.ext.awt.image.spi.ImageTagRegistry, imgCache, 10, 1, 1, 1
org.apache.batik.ext.awt.image.renderable.PadRable8Bit, padRect, 29, 10, 10, 10
org.apache.batik.ext.awt.image.renderable.PadRable8Bit, padMode, 11, 10, 10, 10
org.apache.batik.ext.awt.image.renderable.PadRable8Bit, srcs, 11, 0, 10, 10
org.apache.batik.transcoder.image.ImageTranscoder, hints, 3, 0, 1, 1
org.apache.batik.transcoder.image.ImageTranscoder, curTxf, 6, 0, 1, 1
org.apache.batik.transcoder.image.ImageTranscoder, root, 3, 3, 1, 1
org.apache.batik.transcoder.image.ImageTranscoder, width, 6, 0, 1, 1
org.apache.batik.transcoder.image.ImageTranscoder, height, 6, 0, 1, 1
org.apache.batik.bridge.SVGAElementBridge, cl, 0, 0, 0, 3
org.apache.batik.bridge.SVGAElementBridge, bl, 0, 0, 0, 3
org.apache.batik.bridge.SVGAElementBridge, al, 0, 0, 0, 3
org.apache.batik.parser.AbstractParser, localizableSupport, 0, 2578, 2578, 2578
org.apache.batik.parser.AbstractParser, current, 170386, 55552, 2578, 2578
org.apache.batik.parser.AbstractParser, reader, 55552, 2578, 2578, 2578
org.apache.batik.parser.AbstractParser, errorHandler, 0, 2578, 2578, 2578
org.apache.batik.parser.AbstractParser, lengthHandler, 0, 0, 0, 2578
