CLASS, VARIABLE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.fop.fo.properties.PropertyCache$CacheSegment, staleEntries, 0, 384, 384, 384
org.apache.fop.fo.properties.PropertyCache$CacheSegment, this$0, 0, 384, 384, 384
org.apache.fop.fo.properties.PropertyCache$CacheSegment, count, 0, 384, 384, 384
org.apache.fop.fo.pagination.StaticContent, firstChild, 1, 0, 1, 1
org.apache.fop.area.inline.InlineArea$InlineAdjustingInfo, spaceDifference, 0, 0, 0, 3
org.apache.fop.area.inline.InlineArea$InlineAdjustingInfo, availableStretch, 0, 3, 3, 3
org.apache.fop.area.inline.InlineArea$InlineAdjustingInfo, availableShrink, 0, 3, 3, 3
org.apache.fop.area.inline.InlineArea$InlineAdjustingInfo, this$0, 0, 3, 3, 3
org.apache.fop.area.inline.InlineArea$InlineAdjustingInfo, adjustment, 0, 3, 3, 3
org.apache.fop.layoutmgr.Position, layoutManager, 110341, 75869, 75866, 75866
org.apache.fop.layoutmgr.Position, index, 77623, 103890, 75866, 75866
org.apache.fop.layoutmgr.Position, subPos, 0, 0, 0, 75866
com.sun.org.apache.xerces.internal.parsers.SAXParser, fConfiguration, 15, 0, 5, 5
com.sun.org.apache.xerces.internal.parsers.SAXParser, fSAXParser, 0, 0, 0, 5
com.sun.org.apache.xerces.internal.parsers.SAXParser, fSecurityManager, 0, 0, 0, 5
com.sun.org.apache.xerces.internal.parsers.SAXParser, fSecurityPropertyMgr, 0, 0, 0, 5
com.sun.org.apache.xerces.internal.parsers.SAXParser, fInitFeatures, 0, 0, 0, 5
com.sun.org.apache.xerces.internal.parsers.SAXParser, securityManager, 12, 5, 5, 5
com.sun.org.apache.xerces.internal.parsers.SAXParser, fInitProperties, 0, 0, 0, 5
com.sun.org.apache.xerces.internal.parsers.SAXParser, securityPropertyManager, 7, 5, 5, 5
org.apache.fop.fo.flow.table.TableRow, parent, 270, 0, 94, 94
org.apache.fop.fo.flow.table.TableRow, breakBefore, 94, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, keepWithNext, 188, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, blockProgressionDimension, 94, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, commonBorderPaddingBackground, 685, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, firstChild, 94, 0, 94, 94
org.apache.fop.fo.flow.table.TableRow, breakAfter, 94, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, keepWithPrevious, 188, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, keepTogether, 526, 94, 94, 94
org.apache.fop.fo.flow.table.TableRow, pendingSpans, 94, 188, 94, 94
org.apache.fop.fo.flow.table.TableRow, columnNumberManager, 94, 188, 94, 94
org.apache.fop.fo.flow.table.TableRow, height, 0, 94, 94, 94
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fEntityState, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fNamespaces, 0, 6, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fLocale, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fIdRefList, 0, 1, 1, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fSymbolTable, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fNormalize, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fExtraChecking, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fNamespaceContext, 0, 5, 5, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fIdList, 0, 1, 1, 5
com.sun.org.apache.xerces.internal.impl.validation.ValidationState, fFacetChecking, 0, 5, 5, 5
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_needToCallStartDocument, 8770, 1, 1, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_startTagOpen, 8769, 681, 1, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_state, 4354, 1, 1, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_escapeSetting, 0, 0, 0, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_elemContext, 9450, 0, 1, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_lexHandler, 1, 0, 1, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_cdataTagOpen, 8769, 0, 1, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_tracer, 4354, 0, 1, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_saxHandler, 1, 1, 1, 1
com.sun.org.apache.xml.internal.serializer.ToSAXHandler, m_shouldGenerateNSAttribute, 1, 1, 1, 1
org.apache.fop.fo.properties.LengthProperty, millipoints, 0, 0, 0, 409
org.apache.xmlgraphics.ps.dsc.ResourceTracker, usedResources, 118, 1, 1, 1
org.apache.xmlgraphics.ps.dsc.ResourceTracker, documentNeededResources, 16, 1, 1, 1
org.apache.xmlgraphics.ps.dsc.ResourceTracker, pageResources, 6329, 1, 1, 1
org.apache.xmlgraphics.ps.dsc.ResourceTracker, documentSuppliedResources, 27, 1, 1, 1
org.apache.fop.area.inline.TextArea, inlines, 232, 0, 58, 3049
org.apache.fop.fo.properties.CommonAural, elevation, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, playDuring, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, stress, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, richness, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, cueAfter, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, pauseAfter, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, cueBefore, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, speechRate, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, azimuth, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, voiceFamily, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, pitchRange, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, volume, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, pauseBefore, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, speakNumeral, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, speak, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, pitch, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, speakHeader, 0, 0, 0, 747
org.apache.fop.fo.properties.CommonAural, speakPunctuation, 0, 0, 0, 747
org.apache.fop.layoutmgr.Page, spm, 1259, 58, 58, 58
org.apache.fop.layoutmgr.Page, pageViewport, 15296, 58, 58, 58
org.apache.fop.cli.CommandLineOptions, factory, 1, 1, 1, 1
org.apache.fop.cli.CommandLineOptions, inputmode, 5, 2, 1, 1
