Using scaled threading model. 4 processors detected, 4 threads used to drive the workload, in a possible range of [1,64]
4 query batches completed
8 query batches completed
12 query batches completed
16 query batches completed
20 query batches completed
24 query batches completed
28 query batches completed
32 query batches completed
36 query batches completed
40 query batches completed
44 query batches completed
48 query batches completed
52 query batches completed
56 query batches completed
60 query batches completed
64 query batches completed
CLASS, VARIABLE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.lucene.search.Query, term, 0, 0, 0, 100536
org.apache.lucene.search.Query, boost, 270263, 0, 100547, 100536
org.apache.lucene.index.TermEnum, fieldInfos, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, prevBuffer, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, formatM1SkipInterval, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, indexInterval, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, format, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, scanBuffer, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, skipInterval, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, isIndex, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, input, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, maxSkipLevels, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, termInfo, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, size, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, termBuffer, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, position, 0, 0, 0, 128
org.apache.lucene.index.TermEnum, indexPointer, 0, 0, 0, 128
org.apache.lucene.search.ScoreDoc, score, 0, 93817, 93815, 93817
org.apache.lucene.search.ScoreDoc, doc, 0, 93815, 93813, 93817
org.apache.lucene.store.FSDirectory$FSIndexInput, file, 1554626, 256, 16846, 262988
org.apache.lucene.store.FSDirectory$FSIndexInput, length, 226307, 0, 16847, 262988
org.apache.lucene.store.FSDirectory$FSIndexInput, position, 452074, 438069, 16846, 262988
org.apache.lucene.store.FSDirectory$FSIndexInput, isClone, 262926, 262722, 262918, 262988
org.apache.lucene.index.TermInfosReader, origEnum, 524422, 64, 64, 65
org.apache.lucene.index.TermInfosReader, fieldInfos, 128, 64, 64, 65
org.apache.lucene.index.TermInfosReader, indexEnum, 58624, 128, 64, 65
org.apache.lucene.index.TermInfosReader, indexInterval, 64, 0, 64, 65
org.apache.lucene.index.TermInfosReader, termEnum, 499881, 64, 64, 65
org.apache.lucene.index.TermInfosReader, skipInterval, 262057, 0, 64, 65
org.apache.lucene.index.TermInfosReader, directory, 128, 64, 64, 65
org.apache.lucene.index.TermInfosReader, totalIndexInterval, 565080, 64, 64, 65
org.apache.lucene.index.TermInfosReader, indexDivisor, 14656, 64, 64, 65
org.apache.lucene.index.TermInfosReader, threadResources, 524146, 64, 64, 65
org.apache.lucene.index.TermInfosReader, indexPointers, 145225, 64, 64, 65
org.apache.lucene.index.TermInfosReader, maxSkipLevels, 262054, 0, 64, 65
org.apache.lucene.index.TermInfosReader, termInfoCache, 524080, 64, 64, 65
org.apache.lucene.index.TermInfosReader, indexTerms, 2695730, 128, 64, 65
org.apache.lucene.index.TermInfosReader, size, 524164, 64, 64, 65
org.apache.lucene.index.TermInfosReader, segment, 128, 64, 64, 65
org.apache.lucene.index.TermInfosReader, position, 434440, 0, 64, 65
org.apache.lucene.index.TermInfosReader, indexInfos, 145208, 64, 64, 65
org.apache.lucene.index.TermInfosReader, indexPointer, 14592, 0, 64, 65
org.apache.lucene.index.Term, field, 6492747, 0, 100708, 117847
org.apache.lucene.index.Term, text, 6210997, 406297, 117869, 117847
org.dacapo.harness.Callback, args, 2, 1, 1, 1
org.dacapo.harness.Callback, mode, 4, 1, 1, 1
org.dacapo.harness.Callback, elapsed, 1, 1, 1, 1
org.dacapo.harness.Callback, timer, 1, 1, 1, 1
org.dacapo.harness.Callback, times, 1, 0, 1, 1
org.dacapo.harness.Callback, iterations, 0, 1, 1, 1
org.dacapo.harness.Callback, verbose, 3, 2, 1, 1
org.apache.lucene.index.TermInfosReader$ThreadResources, termInfoCache, 0, 0, 0, 64
org.apache.lucene.index.TermInfosReader$ThreadResources, termEnum, 0, 0, 0, 64
org.apache.lucene.search.HitCollector, totalHits, 0, 0, 0, 262080
org.apache.lucene.search.HitCollector, hq, 0, 0, 0, 262080
org.apache.lucene.search.HitCollector, reusableSD, 0, 0, 0, 262080
org.apache.lucene.util.UnicodeUtil$UTF16Result, result, 26272622, 921, 579, 577
org.apache.lucene.util.UnicodeUtil$UTF16Result, offsets, 0, 576, 576, 577
org.apache.lucene.util.UnicodeUtil$UTF16Result, length, 17013981, 9281363, 320, 577
org.apache.lucene.document.Document, boost, 0, 53199, 53197, 53196
org.apache.lucene.document.Document, fields, 585134, 53198, 53196, 53196
org.apache.lucene.queryParser.QueryParser, next, 1312636, 262082, 64, 64
org.apache.lucene.queryParser.QueryParser, allowLeadingWildcard, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, fuzzyMinSim, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, fieldToDateResolution, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_ntk, 1571780, 655167, 64, 64
org.apache.lucene.queryParser.QueryParser, useOldRangeQuery, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, locale, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_scanpos, 1572019, 655119, 64, 64
org.apache.lucene.queryParser.QueryParser, operator, 130944, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, dateResolution, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, lowercaseExpandedTerms, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_kind, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, gen, 133588, 131055, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_expentries, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_la, 524075, 393052, 65, 64
org.apache.lucene.queryParser.QueryParser, jj_2_rtns, 532023, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, analyzer, 130996, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, arg, 0, 131005, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_lasttokens, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, fuzzyPrefixLength, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_rescan, 393107, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_ls, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_endpos, 0, 0, 0, 64
org.apache.lucene.queryParser.QueryParser, image, 131016, 0, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_nt, 131043, 262016, 64, 64
org.apache.lucene.queryParser.QueryParser, kind, 917184, 0, 64, 64
org.apache.lucene.queryParser.QueryParser, token, 1702948, 393138, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_expentry, 0, 0, 0, 64
org.apache.lucene.queryParser.QueryParser, field, 131036, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_gen, 1050669, 393170, 64, 64
org.apache.lucene.queryParser.QueryParser, phraseSlop, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, rangeCollator, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_la1, 3537072, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_gc, 262020, 264703, 64, 64
org.apache.lucene.queryParser.QueryParser, token_source, 393113, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, enablePositionIncrements, 0, 64, 64, 64
org.apache.lucene.queryParser.QueryParser, first, 0, 131018, 64, 64
org.apache.lucene.queryParser.QueryParser, jj_lastpos, 393111, 393106, 64, 64
org.dacapo.parser.ConfigFile, next, 4137, 1547, 1, 1
org.dacapo.parser.ConfigFile, image, 29, 0, 1, 1
org.dacapo.parser.ConfigFile, jj_ntk, 2166, 2843, 1, 1
org.dacapo.parser.ConfigFile, jj_nt, 0, 1296, 1, 1
org.dacapo.parser.ConfigFile, kind, 2842, 0, 1, 1
org.dacapo.parser.ConfigFile, token, 9240, 1547, 1, 1
org.dacapo.parser.ConfigFile, jj_kind, 0, 1, 1, 1
org.dacapo.parser.ConfigFile, jj_expentry, 0, 0, 0, 1
org.dacapo.parser.ConfigFile, jj_input_stream, 1, 1, 1, 1
org.dacapo.parser.ConfigFile, jj_expentries, 0, 1, 1, 1
org.dacapo.parser.ConfigFile, jj_gen, 1971, 1547, 1, 1
org.dacapo.parser.ConfigFile, jj_la1, 444, 1, 1, 1
org.dacapo.parser.ConfigFile, token_source, 1547, 1, 1, 1
org.apache.lucene.index.FieldInfos, byNumber, 8601326, 64, 64, 65
org.apache.lucene.index.FieldInfos, name, 8485489, 0, 66, 65
org.apache.lucene.index.FieldInfos, byName, 262255, 64, 64, 65
org.apache.lucene.index.FieldInfos, storeTermVector, 192, 0, 64, 65
org.apache.lucene.util.cache.Cache, cacheSize, 0, 0, 0, 64
org.dacapo.lusearch.Search, completed, 65, 2, 1, 1
org.apache.lucene.queryParser.Token, endLine, 0, 0, 0, 393086
org.apache.lucene.queryParser.Token, next, 0, 0, 0, 393086
org.apache.lucene.queryParser.Token, image, 0, 262053, 262023, 393086
org.apache.lucene.queryParser.Token, endColumn, 0, 0, 0, 393086
org.apache.lucene.queryParser.Token, specialToken, 0, 0, 0, 393086
org.apache.lucene.queryParser.Token, beginColumn, 0, 0, 0, 393086
org.apache.lucene.queryParser.Token, kind, 0, 262085, 262067, 393086
org.apache.lucene.queryParser.Token, beginLine, 0, 0, 0, 393086
org.apache.lucene.util.UnicodeUtil$UTF8Result, result, 8485496, 766, 579, 580
org.apache.lucene.util.UnicodeUtil$UTF8Result, length, 190, 8484823, 131, 580
org.apache.lucene.index.SegmentInfo, docStoreSegment, 192, 64, 1, 1
org.apache.lucene.index.SegmentInfo, delGen, 128, 64, 1, 1
org.apache.lucene.index.SegmentInfo, sizeInBytes, 0, 0, 0, 1
org.apache.lucene.index.SegmentInfo, normGen, 1408, 64, 1, 1
org.apache.lucene.index.SegmentInfo, docCount, 0, 64, 1, 1
org.apache.lucene.index.SegmentInfo, docStoreOffset, 384, 64, 1, 1
org.apache.lucene.index.SegmentInfo, dir, 0, 0, 0, 1
org.apache.lucene.index.SegmentInfo, hasProx, 0, 64, 1, 1
org.apache.lucene.index.SegmentInfo, docStoreIsCompoundFile, 128, 64, 1, 1
org.apache.lucene.index.SegmentInfo, hasSingleNormFile, 256, 64, 1, 1
org.apache.lucene.index.SegmentInfo, preLockless, 448, 64, 1, 1
org.apache.lucene.index.SegmentInfo, isCompoundFile, 320, 64, 1, 1
org.apache.lucene.index.SegmentInfo, name, 320, 64, 1, 1
org.apache.lucene.index.SegmentInfo, files, 256, 64, 1, 1
