CLASS, VARIABLE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
net.sourceforge.pmd.ast.SimpleJavaNode, next, 1737413, 0, 579249, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, endLine, 232538, 232543, 232519, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, endColumn, 232539, 232546, 232521, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, comments, 0, 0, 0, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, parser, 2201905, 0, 579248, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, beginColumn, 579290, 579366, 579209, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, children, 12505837, 0, 232786, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, beginLine, 1623032, 579350, 579220, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, classTypeResolver, 0, 0, 0, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, id, 461974, 0, 231539, 579988
net.sourceforge.pmd.ast.SimpleJavaNode, token, 2202028, 0, 579262, 579988
org.jaxen.SimpleVariableContext, variables, 26, 95, 95, 95
org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher, fEntityScanner, 6, 0, 6, 12
org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher, this$0, 24, 12, 12, 12
org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher, fMarkupDepth, 6, 0, 6, 12
org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher, fScannerState, 6, 0, 6, 12
net.sourceforge.pmd.rules.UnnecessaryConversionTemporary, inPrimaryExpressionContext, 8112, 1386, 1, 2
net.sourceforge.pmd.rules.UnnecessaryConversionTemporary, usingPrimitiveWrapperAllocation, 202, 693, 1, 2
net.sourceforge.pmd.rules.UnnecessaryConversionTemporary, primary, 0, 693, 1, 2
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, fieldVisitor, 928, 218, 218, 218
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, packages, 31061, 218, 218, 218
net.sourceforge.pmd.typeresolution.visitors.PMDASMVisitor, annotationVisitor, 1, 218, 218, 218
