Using scaled threading model. 4 processors detected, 4 threads used to drive the workload, in a possible range of [1,256]
CLASS, VARIABLE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.sunflow.core.ShadingState, instance, 2630, 693, 693, 693
org.sunflow.core.ShadingState, modifier, 693, 693, 693, 693
org.sunflow.core.ShadingState, reflectionDepth, 63, 693, 694, 693
org.sunflow.core.ShadingState, hitU, 691, 692, 694, 694
org.sunflow.core.ShadingState, hitV, 691, 692, 694, 694
org.sunflow.core.ShadingState, id, 694, 0, 694, 694
org.sunflow.core.ShadingState, tex, 1388, 694, 694, 694
org.sunflow.core.ShadingState, basis, 551, 1388, 694, 694
org.sunflow.core.ShadingState, qmcD0I, 7990, 691, 693, 694
org.sunflow.core.ShadingState, ng, 13293, 694, 694, 694
org.sunflow.core.ShadingState, next, 0, 7848, 491, 694
org.sunflow.core.ShadingState, behind, 4, 1171, 693, 694
org.sunflow.core.ShadingState, server, 68291, 62, 660, 694
org.sunflow.core.ShadingState, shader, 1246, 694, 694, 694
org.sunflow.core.ShadingState, rx, 62, 62, 62, 694
org.sunflow.core.ShadingState, ry, 62, 62, 62, 694
org.sunflow.core.ShadingState, result, 552, 1246, 694, 694
org.sunflow.core.ShadingState, primitiveID, 691, 692, 694, 694
org.sunflow.core.ShadingState, qmcD1I, 8485, 694, 694, 694
org.sunflow.core.ShadingState, includeSpecular, 0, 693, 693, 694
org.sunflow.core.ShadingState, diffuseDepth, 2225, 692, 694, 694
org.sunflow.core.ShadingState, cosND, 3, 1385, 703, 694
org.sunflow.core.ShadingState, includeLights, 0, 693, 693, 694
org.sunflow.core.ShadingState, map, 270, 62, 138, 694
org.sunflow.core.ShadingState, d, 1514, 757, 695, 695
org.sunflow.core.ShadingState, refractionDepth, 64, 695, 696, 695
org.sunflow.core.ShadingState, i, 1516, 758, 697, 696
org.sunflow.core.ShadingState, ox, 2, 2, 2, 697
org.sunflow.core.ShadingState, oy, 2, 2, 2, 697
org.sunflow.core.ShadingState, oz, 2, 2, 2, 697
org.sunflow.core.ShadingState, n, 16335, 697, 697, 697
org.sunflow.core.ShadingState, p, 12543, 697, 697, 697
org.sunflow.core.ShadingState, r, 2358, 695, 697, 697
org.sunflow.core.ShadingState, u, 697, 0, 697, 697
org.sunflow.core.ShadingState, v, 697, 0, 697, 697
org.sunflow.core.ShadingState, x, 1392, 695, 695, 698
org.sunflow.core.ShadingState, y, 1392, 695, 695, 698
org.sunflow.core.ShadingState, z, 1392, 695, 695, 698
org.sunflow.core.ShadingState, lightSample, 8451, 7893, 559, 698
org.sunflow.core.ShadingState, istate, 66939, 698, 710, 698
org.sunflow.core.gi.InstantGI$PointLightStore, p, 0, 132, 1, 1
org.sunflow.core.gi.InstantGI$PointLightStore, this$0, 1, 1, 1, 1
org.sunflow.core.gi.InstantGI$PointLightStore, virtualLights, 132, 1, 1, 1
org.sunflow.core.gi.InstantGI$PointLightStore, power, 0, 132, 1, 1
